ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002.0,Knopf,http://images.amazon.com/images/P/0375412824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.LZZZZZZZ.jpg
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995.0,Health Communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
059045367X,"Monster Blood (Goosebumps, No 3)",R. L. Stine,1995.0,Scholastic,http://images.amazon.com/images/P/059045367X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/059045367X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/059045367X.01.LZZZZZZZ.jpg
0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995.0,Scholastic,http://images.amazon.com/images/P/0590453661.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590453661.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590453661.01.LZZZZZZZ.jpg
0441005764,"Mossflower (Redwall, Book 2)",Brian Jacques,1998.0,Ace Books,http://images.amazon.com/images/P/0441005764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441005764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441005764.01.LZZZZZZZ.jpg
0553582135,Final Target,Iris Johansen,2002.0,Bantam Books,http://images.amazon.com/images/P/0553582135.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553582135.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553582135.01.LZZZZZZZ.jpg
0451410777,Sleep Tight (Onyx Book),Anne Frasier,2003.0,Onyx Books,http://images.amazon.com/images/P/0451410777.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451410777.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451410777.01.LZZZZZZZ.jpg
0440237416,Warning Signs,Stephen White,2003.0,Dell Publishing Company,http://images.amazon.com/images/P/0440237416.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440237416.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440237416.01.LZZZZZZZ.jpg
0399147284,Chosen Prey,John Sandford,2001.0,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399147284.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399147284.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399147284.01.LZZZZZZZ.jpg
039914210X,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997.0,Putnam Pub Group,http://images.amazon.com/images/P/039914210X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039914210X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039914210X.01.LZZZZZZZ.jpg
0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990.0,TSR,http://images.amazon.com/images/P/0880381736.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0880381736.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0880381736.01.LZZZZZZZ.jpg
0767907817,Bookends : A Novel,Jane Green,2003.0,Broadway,http://images.amazon.com/images/P/0767907817.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767907817.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767907817.01.LZZZZZZZ.jpg
0385720106,A Map of the World,Jane Hamilton,1999.0,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg
0553208845,Siddhartha,Hermann Hesse,1981.0,Bantam Classics,http://images.amazon.com/images/P/0553208845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg
0064400581,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972.0,HarperTrophy,http://images.amazon.com/images/P/0064400581.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400581.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400581.01.LZZZZZZZ.jpg
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997.0,Tyndale House Publishers,http://images.amazon.com/images/P/0842329218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.LZZZZZZZ.jpg
0553574965,The Last Family,John R. Miller,1997.0,Bantam Books,http://images.amazon.com/images/P/0553574965.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553574965.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553574965.01.LZZZZZZZ.jpg
0440225698,The Klone and I: A High-Tech Love Story,Danielle Steel,1999.0,Dell Publishing Company,http://images.amazon.com/images/P/0440225698.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440225698.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440225698.01.LZZZZZZZ.jpg
0440221471,The Runaway Jury,JOHN GRISHAM,1997.0,Dell,http://images.amazon.com/images/P/0440221471.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg
0061007129,Kane &amp; Abel,Jeffrey Archer,1993.0,HarperTorch,http://images.amazon.com/images/P/0061007129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061007129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061007129.01.LZZZZZZZ.jpg
0425143325,Without Remorse,Tom Clancy,2004.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425143325.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425143325.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425143325.01.LZZZZZZZ.jpg
0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,2001.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425180964.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425180964.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425180964.01.LZZZZZZZ.jpg
0743411250,The Woman Next Door,Barbara Delinsky,2002.0,Pocket,http://images.amazon.com/images/P/0743411250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743411250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743411250.01.LZZZZZZZ.jpg
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
0395869463,The Bookshop : A Novel,Penelope Fitzgerald,1997.0,Mariner Books,http://images.amazon.com/images/P/0395869463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395869463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395869463.01.LZZZZZZZ.jpg
0802132952,Naked Lunch,William S. Burroughs,1992.0,Grove Press,http://images.amazon.com/images/P/0802132952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802132952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802132952.01.LZZZZZZZ.jpg
0061020710,The Color of Magic,Terry Pratchett,2000.0,HarperTorch,http://images.amazon.com/images/P/0061020710.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061020710.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061020710.01.LZZZZZZZ.jpg
0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994.0,Dell Publishing Company,http://images.amazon.com/images/P/0440204887.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440204887.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440204887.01.LZZZZZZZ.jpg
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986.0,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
0385199570,The Stand (The Complete and Uncut Edition),Stephen King,1990.0,Doubleday Books,http://images.amazon.com/images/P/0385199570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.LZZZZZZZ.jpg
0842321942,Second Chance (Left Behind: The Kids #2),Jerry B. Jenkins,1998.0,Tyndale House Publishers,http://images.amazon.com/images/P/0842321942.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842321942.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842321942.01.LZZZZZZZ.jpg
0842321934,The Vanishings (Left Behind: The Kids #1),Jerry B. Jenkins,1998.0,Tyndale House Publishers,http://images.amazon.com/images/P/0842321934.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842321934.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842321934.01.LZZZZZZZ.jpg
044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,1976.0,Yearling,http://images.amazon.com/images/P/044048474X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044048474X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044048474X.01.LZZZZZZZ.jpg
0689817215,The View from Saturday (Jean Karl Books (Paperback)),E. L. Konigsburg,1998.0,Aladdin,http://images.amazon.com/images/P/0689817215.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689817215.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689817215.01.LZZZZZZZ.jpg
0517580497,Plains of Passage (Earth's Children),Jean M. Auel,1990.0,Random House Inc,http://images.amazon.com/images/P/0517580497.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517580497.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517580497.01.LZZZZZZZ.jpg
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997.0,Health Communications,http://images.amazon.com/images/P/1558744630.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.LZZZZZZZ.jpg
0316143464,Dress Your Family in Corduroy and Denim,David Sedaris,2004.0,"Little, Brown",http://images.amazon.com/images/P/0316143464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316143464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316143464.01.LZZZZZZZ.jpg
0553294385,"I, Robot",ISAAC ASIMOV,1991.0,Spectra,http://images.amazon.com/images/P/0553294385.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553294385.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553294385.01.LZZZZZZZ.jpg
1558746161,Chicken Soup for the Teenage Soul II (Chicken Soup for the Soul Series),Jack Canfield,1998.0,HCI Teens,http://images.amazon.com/images/P/1558746161.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746161.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746161.01.LZZZZZZZ.jpg
0671721291,The Ship Who Searched,Anne McCaffrey,1992.0,Baen,http://images.amazon.com/images/P/0671721291.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671721291.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671721291.01.LZZZZZZZ.jpg
0553563521,Devil's Waltz (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1993.0,Bantam Books,http://images.amazon.com/images/P/0553563521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553563521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553563521.01.LZZZZZZZ.jpg
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999.0,Bantam Books,http://images.amazon.com/images/P/055357230X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055357230X.01.LZZZZZZZ.jpg
0399142282,Hornet's Nest,Patricia Daniels Cornwell,1997.0,Putnam Publishing Group,http://images.amazon.com/images/P/0399142282.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399142282.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399142282.01.LZZZZZZZ.jpg
0812513711,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1992.0,Tor Fantasy,http://images.amazon.com/images/P/0812513711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812513711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812513711.01.LZZZZZZZ.jpg
0671004107,Contact,Carl Sagan,1997.0,Pocket,http://images.amazon.com/images/P/0671004107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.LZZZZZZZ.jpg
0671683993,The Temple of My Familiar,Alice Walker,1990.0,Pocket,http://images.amazon.com/images/P/0671683993.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671683993.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671683993.01.LZZZZZZZ.jpg
0425098680,Dinner at the Homesick Restaurant,Anne Tyler,1992.0,Ivy Books,http://images.amazon.com/images/P/0425098680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425098680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425098680.01.LZZZZZZZ.jpg
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000.0,Scholastic,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
0679751602,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994.0,Vintage Books USA,http://images.amazon.com/images/P/0679751602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679751602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679751602.01.LZZZZZZZ.jpg
0812580354,Calculating God,Robert J. Sawyer,2001.0,Tor Science Fiction,http://images.amazon.com/images/P/0812580354.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812580354.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812580354.01.LZZZZZZZ.jpg
0553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,1983.0,Bantam,http://images.amazon.com/images/P/0553211404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553211404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553211404.01.LZZZZZZZ.jpg
0515102652,The Cat Who Talked to Ghosts,Lilian Jackson Braun,1996.0,Jove Books,http://images.amazon.com/images/P/0515102652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515102652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515102652.01.LZZZZZZZ.jpg
1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004.0,Vintage,http://images.amazon.com/images/P/1400032717.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg
0553250515,The Member of the Wedding,CARSON MCCULLERS,1984.0,Bantam,http://images.amazon.com/images/P/0553250515.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553250515.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553250515.01.LZZZZZZZ.jpg
0374100128,The Corrections (Oprah Edition),Jonathan Franzen,2001.0,Farrar Straus Giroux,http://images.amazon.com/images/P/0374100128.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374100128.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374100128.01.LZZZZZZZ.jpg
0452283868,Sula,Toni Morrison,2002.0,Plume Books,http://images.amazon.com/images/P/0452283868.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452283868.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452283868.01.LZZZZZZZ.jpg
0061097314,The Bean Trees,Barbara Kingsolver,1998.0,HarperTorch,http://images.amazon.com/images/P/0061097314.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061097314.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061097314.01.LZZZZZZZ.jpg
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994.0,Penguin Books,http://images.amazon.com/images/P/0140119906.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140119906.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140119906.01.LZZZZZZZ.jpg
0060987049,Microserfs,Douglas Coupland,1996.0,Regan Books,http://images.amazon.com/images/P/0060987049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987049.01.LZZZZZZZ.jpg
0345404475,Do Androids Dream of Electric Sheep?,Philip K. Dick,1996.0,Del Rey Books,http://images.amazon.com/images/P/0345404475.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.LZZZZZZZ.jpg
0684857820,Lucky,Alice Sebold,1999.0,Scribner,http://images.amazon.com/images/P/0684857820.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684857820.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684857820.01.LZZZZZZZ.jpg
0060092645,My Favorite Bride,Christina Dodd,2002.0,Avon,http://images.amazon.com/images/P/0060092645.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060092645.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060092645.01.LZZZZZZZ.jpg
0061031755,The Promise in a Kiss,Stephanie Laurens,2002.0,Avon Books,http://images.amazon.com/images/P/0061031755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061031755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061031755.01.LZZZZZZZ.jpg
037541309X,Balzac and the Little Chinese Seamstress,Dai Sijie,2001.0,Alfred A. Knopf,http://images.amazon.com/images/P/037541309X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/037541309X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/037541309X.01.LZZZZZZZ.jpg
0553579606,Ashes to Ashes,TAMI HOAG,2000.0,Bantam,http://images.amazon.com/images/P/0553579606.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.LZZZZZZZ.jpg
0061013439,The Run,Stuart Woods,2001.0,HarperTorch,http://images.amazon.com/images/P/0061013439.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061013439.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061013439.01.LZZZZZZZ.jpg
0679459596,Billy Straight: A Novel,Jonathan Kellerman,1999.0,Random House Trade,http://images.amazon.com/images/P/0679459596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679459596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679459596.01.LZZZZZZZ.jpg
0553578901,The Hostage Bride,Jane Feather,1998.0,Bantam Books,http://images.amazon.com/images/P/0553578901.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553578901.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553578901.01.LZZZZZZZ.jpg
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999.0,Perennial,http://images.amazon.com/images/P/006099486X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg
0684841347,ONE DAY MY SOUL JUST OPENED UP : 40 DAYS AND 40 NIGHTS TOWARD SPIRITUAL STRENGTH AND PERSONAL GROWTH,Iyanla Vanzant,1998.0,Fireside,http://images.amazon.com/images/P/0684841347.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684841347.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684841347.01.LZZZZZZZ.jpg
044652087X,My Sergei: A Love Story,Ekaterina Gordeeva,1996.0,Warner Books,http://images.amazon.com/images/P/044652087X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044652087X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044652087X.01.LZZZZZZZ.jpg
0670855030,Insomnia,Stephen King,1994.0,Viking Books,http://images.amazon.com/images/P/0670855030.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670855030.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670855030.01.LZZZZZZZ.jpg
0684810387,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996.0,Simon &amp; Schuster,http://images.amazon.com/images/P/0684810387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684810387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684810387.01.LZZZZZZZ.jpg
0440183057,Stillwatch,MARY HIGGINS CLARK,1986.0,Dell,http://images.amazon.com/images/P/0440183057.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440183057.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440183057.01.LZZZZZZZ.jpg
0671769200,If You Really Loved Me,Ann Rule,1992.0,Pocket,http://images.amazon.com/images/P/0671769200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671769200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671769200.01.LZZZZZZZ.jpg
0671250671,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,1980.0,Touchstone,http://images.amazon.com/images/P/0671250671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671250671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671250671.01.LZZZZZZZ.jpg
0425118703,Midnight,Dean R. Koontz,1995.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425118703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425118703.01.LZZZZZZZ.jpg
0811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,1993.0,Chronicle Books,http://images.amazon.com/images/P/0811802981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.LZZZZZZZ.jpg
0446604763,Mayday,Thomas Block,1998.0,Warner Books,http://images.amazon.com/images/P/0446604763.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604763.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604763.01.LZZZZZZZ.jpg
0375401598,Pandora : New Tales of the Vampires,ANNE RICE,1998.0,Knopf,http://images.amazon.com/images/P/0375401598.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375401598.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375401598.01.LZZZZZZZ.jpg
0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990.0,HarperTorch,http://images.amazon.com/images/P/0061000043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061000043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061000043.01.LZZZZZZZ.jpg
0151006725,Slammerkin,Emma Donoghue,2001.0,Harcourt,http://images.amazon.com/images/P/0151006725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0151006725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0151006725.01.LZZZZZZZ.jpg
0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991.0,Bantam,http://images.amazon.com/images/P/0553289411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553289411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553289411.01.LZZZZZZZ.jpg
044661064X,The First Counsel,Brad Meltzer,2001.0,Warner Vision,http://images.amazon.com/images/P/044661064X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044661064X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044661064X.01.LZZZZZZZ.jpg
1551666839,Dead Run,Erica Spindler,2003.0,Mira,http://images.amazon.com/images/P/1551666839.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551666839.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551666839.01.LZZZZZZZ.jpg
0765342987,Kushiel's Dart,Jacqueline Carey,2002.0,Tor Books,http://images.amazon.com/images/P/0765342987.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0765342987.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0765342987.01.LZZZZZZZ.jpg
0446530522,Cane River,Lalita Tademy,2001.0,Warner Books,http://images.amazon.com/images/P/0446530522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446530522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446530522.01.LZZZZZZZ.jpg
002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,1993.0,Scribner,http://images.amazon.com/images/P/002026478X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002026478X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002026478X.01.LZZZZZZZ.jpg
0345447840,The Surgeon,TESS GERRITSEN,2002.0,Ballantine Books,http://images.amazon.com/images/P/0345447840.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345447840.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345447840.01.LZZZZZZZ.jpg
0312977360,The Church of Dead Girls,Stephen Dobyns,2001.0,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312977360.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312977360.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312977360.01.LZZZZZZZ.jpg
0553569791,The Last Innocent Man,PHILLIP M. MARGOLIN,1995.0,Bantam,http://images.amazon.com/images/P/0553569791.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553569791.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553569791.01.LZZZZZZZ.jpg
044661193X,Basket Case,Carl Hiaasen,2003.0,Warner Books,http://images.amazon.com/images/P/044661193X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044661193X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044661193X.01.LZZZZZZZ.jpg
0446401617,Where Echoes Live,Marcia Muller,1992.0,Warner Books,http://images.amazon.com/images/P/0446401617.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446401617.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446401617.01.LZZZZZZZ.jpg
0440419468,Holes,LOUIS SACHAR,2003.0,Yearling,http://images.amazon.com/images/P/0440419468.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440419468.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440419468.01.LZZZZZZZ.jpg
0446359866,Presumed Innocent,Scott Turow,1989.0,Warner Books,http://images.amazon.com/images/P/0446359866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446359866.01.LZZZZZZZ.jpg
